Date,Open,High,Low,Close,Adj Close,Volume
1/3/2023,11038.41992,11093.09961,10770.92969,10862.63965,10862.63965,4780650000
1/4/2023,10949.33984,10981.45996,10785.53027,10914.79981,10914.79981,5085380000
1/5/2023,10837.25,10842.33008,10728.25977,10741.21973,10741.21973,4764270000
1/6/2023,10807.45996,11082.58984,10696.41992,11040.34961,11040.34961,5199780000
1/9/2023,11133.07031,11304.83984,11085.32031,11108.4502,11108.4502,5132190000
1/10/2023,11069.04981,11207.55957,11050.67969,11205.78027,11205.78027,4710680000
1/11/2023,11259.16016,11403.88965,11220.75,11402.51953,11402.51953,5284390000
1/12/2023,11441.4502,11500.86035,11246.01953,11459.61035,11459.61035,5681240000
1/13/2023,11362.12988,11547.95996,11347.59961,11541.48047,11541.48047,5077990000
1/17/2023,11531.54004,11615.9502,11484.01953,11557.19043,11557.19043,5138410000
1/18/2023,11636.61035,11690.26953,11403.30957,11410.29004,11410.29004,5288630000
1/19/2023,11345.19043,11388.45996,11251.94043,11295.66992,11295.66992,4660800000
1/20/2023,11363.84961,11623.2002,11329.54004,11619.03027,11619.03027,5980110000
1/23/2023,11652,11918.86035,11617.83008,11872.54004,11872.54004,5997810000
1/24/2023,11802.9502,11889.37012,11780.07031,11846.63965,11846.63965,5670860000
1/25/2023,11636.00977,11841.80957,11550.07031,11814.69043,11814.69043,5485570000
1/26/2023,11972.57031,12055.80957,11853.37012,12051.48047,12051.48047,5732890000
1/27/2023,12000.20996,12248.15039,11999.87012,12166.59961,12166.59961,6243800000
1/30/2023,12047.16016,12087.67969,11906.11035,11912.38965,11912.38965,5122320000
1/31/2023,11915.94043,12104.12988,11915.94043,12101.92969,12101.92969,5695150000
2/1/2023,12087.91992,12458.87012,12010.73047,12363.09961,12363.09961,6336040000
2/2/2023,12655.17969,12880.98047,12600.75977,12803.13965,12803.13965,7038210000
2/3/2023,12520.9502,12828.70996,12520.9502,12573.36035,12573.36035,5954490000
2/6/2023,12468.79981,12558.87012,12411.87988,12464.50977,12464.50977,5538350000
2/7/2023,12474.9502,12771.58984,12419.70996,12728.26953,12728.26953,5720240000
2/8/2023,12680.03027,12709.4502,12471.12012,12495.37988,12495.37988,5052870000
2/9/2023,12677.54004,12679.54004,12327.44043,12381.16992,12381.16992,5536290000
2/10/2023,12306.58984,12375.71973,12204.20996,12304.91992,12304.91992,4885030000
2/13/2023,12356.5,12522.78027,12313.4502,12502.30957,12502.30957,4752880000
2/14/2023,12413.09961,12627.40039,12356.32031,12590.88965,12590.88965,5032430000
2/15/2023,12531.59961,12689.33984,12486.41992,12687.88965,12687.88965,5056640000
2/16/2023,12495.07031,12653.40039,12440,12442.48047,12442.48047,5159410000
2/17/2023,12352.29981,12385.51953,12233.79004,12358.17969,12358.17969,4925230000
2/21/2023,12205.20996,12257.05957,12058.23047,12060.29981,12060.29981,5002540000
2/22/2023,12085.66992,12156.20996,12006.04004,12066.26953,12066.26953,4671270000
2/23/2023,12224.44043,12227.40039,12003.30957,12180.13965,12180.13965,4714580000
2/24/2023,11979.79981,12018.32031,11900.83984,11969.65039,11969.65039,4432650000
2/27/2023,12106.79004,12159.63965,12034.61035,12057.79004,12057.79004,4494000000
2/28/2023,12041.75,12146.51953,12021.32031,12042.12012,12042.12012,5340950000
3/1/2023,12026.71973,12054.48047,11906.58008,11938.57031,11938.57031,4927530000
3/2/2023,11830.08984,12074.58984,11830.08984,12044.87012,12044.87012,5313760000
3/3/2023,12110.70996,12300.45996,12095.24023,12290.80957,12290.80957,5102210000
3/6/2023,12344.65039,12466.87988,12297.57031,12302.48047,12302.48047,4982880000
3/7/2023,12303.19043,12344.04004,12130.00977,12152.16992,12152.16992,5422820000
3/8/2023,12181.05957,12237.71973,12102.28027,12215.33008,12215.33008,5085970000
3/9/2023,12230.83984,12340.4502,11970.33984,11995.87988,11995.87988,5061790000
3/10/2023,12001.7002,12069.62012,11789.86035,11830.28027,11830.28027,6193500000
3/13/2023,11752.09961,12073.95996,11695.41016,11923.16992,11923.16992,6201490000
3/14/2023,12078.45996,12217.87012,12035.21973,12199.79004,12199.79004,5533120000
3/15/2023,12083.24023,12269.4502,12026.17969,12251.32031,12251.32031,5912430000
3/16/2023,12211.87012,12595.69043,12190.65039,12581.38965,12581.38965,5498920000
3/17/2023,12570.16016,12674.33984,12444.08008,12519.87988,12519.87988,7903090000
3/20/2023,12487.79004,12578.34961,12407.82031,12562.61035,12562.61035,4970630000
3/21/2023,12643.34961,12762.4502,12582.75977,12741.44043,12741.44043,4829870000
3/22/2023,12742.41016,12943.62012,12563.78027,12567.15039,12567.15039,4981590000
3/23/2023,12735.59961,12900.09961,12611.66992,12729.23047,12729.23047,4917460000
3/24/2023,12700.50977,12770.28027,12608.15039,12767.04981,12767.04981,4363650000
3/27/2023,12797.90039,12839.41992,12647.94043,12673.07031,12673.07031,4330320000
3/28/2023,12654.91016,12654.91016,12517.87012,12610.57031,12610.57031,4036910000
3/29/2023,12768.13965,12867.32031,12734.67969,12846.03027,12846.03027,4493540000
3/30/2023,12934.99023,12987.96973,12894.13965,12963.13965,12963.13965,4738880000
3/31/2023,12968.95996,13188.83008,12968,13181.34961,13181.34961,5521150000
4/3/2023,13084.09961,13157.46973,13036.54981,13148.34961,13148.34961,4816440000
4/4/2023,13165.32031,13204.08008,13049.98047,13100.08008,13100.08008,4298760000
4/5/2023,13056.79004,13065.28027,12894.44043,12967.2002,12967.2002,4378590000
4/6/2023,12892.90039,13078.09961,12846.03027,13062.59961,13062.59961,3862800000
4/10/2023,12936.51953,13051.84961,12861.51953,13051.23047,13051.23047,4334070000
4/11/2023,13040.49023,13049.55957,12947.66016,12964.15039,12964.15039,4676960000
4/12/2023,13043.96973,13071.98047,12833.30957,12848.34961,12848.34961,4909770000
4/13/2023,12922.90039,13124.41016,12920.01953,13109.38965,13109.38965,4942990000
4/14/2023,13044.69043,13152.28027,12962.50977,13079.51953,13079.51953,4655740000
4/17/2023,13053.25977,13105.67969,12981.25977,13087.70996,13087.70996,4823180000
4/18/2023,13180.30957,13196.17969,13044.20996,13091.79004,13091.79004,4851810000
4/19/2023,12992.50977,13128.25,12988.2002,13088.70996,13088.70996,4972700000
4/20/2023,12962.29004,13107.91992,12933.79981,12985.98047,12985.98047,4590530000
4/21/2023,12970.32031,13030.84961,12899.63965,13000.76953,13000.76953,4868050000
4/24/2023,12981.70996,13044.21973,12883.76953,12969.75977,12969.75977,4854050000
4/25/2023,12905.08984,12933.28027,12724.24023,12725.11035,12725.11035,4806020000
4/26/2023,12866.63965,12929.62012,12783.41992,12806.48047,12806.48047,5281970000
4/27/2023,12963.20996,13175.62012,12938.5,13160.03027,13160.03027,5253710000
4/28/2023,13139.34961,13247.38965,13096.94043,13245.99023,13245.99023,5331380000
5/1/2023,13229.11035,13287.46973,13186.40039,13231.46973,13231.46973,5168430000
5/2/2023,13225.48047,13241.53027,13046.79004,13113.66016,13113.66016,5501410000
5/3/2023,13123.09961,13231.70996,13026.04004,13030.20996,13030.20996,5782160000
5/4/2023,13014.07031,13064.01953,12938.4502,12982.48047,12982.48047,4745780000
5/5/2023,13070.7002,13291.11035,13059.91016,13259.12988,13259.12988,4574790000
5/8/2023,13247.08984,13302.42969,13193.08008,13291.63965,13291.63965,4216360000
5/9/2023,13228.63965,13254.80957,13193.87988,13201.11035,13201.11035,4126780000
5/10/2023,13308.41016,13384.41992,13204.79004,13347.83008,13347.83008,4948260000
5/11/2023,13376.84961,13411.7002,13306.08008,13389.78027,13389.78027,4489490000
5/12/2023,13407.01953,13427.41992,13256.55957,13340.17969,13340.17969,4170000000
5/15/2023,13352.25977,13419.80957,13297.84961,13413.50977,13413.50977,3979290000
5/16/2023,13385.37012,13498.44043,13384.76953,13426.00977,13426.00977,4067510000
5/17/2023,13474.51953,13608.33008,13419.34961,13589.25977,13589.25977,4501820000
5/18/2023,13608.9502,13844.75977,13606.80957,13834.62012,13834.62012,4532890000
5/19/2023,13842.69043,13874.41992,13763.90039,13803.49023,13803.49023,3935780000
5/22/2023,13805.33008,13893.70996,13792.96973,13849.74023,13849.74023,4278920000
5/23/2023,13773.67969,13827.09961,13662.91016,13672.54004,13672.54004,4347440000
5/24/2023,13589.01953,13655.73047,13520.91992,13604.48047,13604.48047,4088270000
5/25/2023,13920.88965,13986.87012,13812.17969,13938.53027,13938.53027,4651640000
5/26/2023,13990.54981,14329.49023,13982.16016,14298.41016,14298.41016,4434070000
5/30/2023,14465.58984,14520.16992,14301.08008,14354.99023,14354.99023,4843470000
5/31/2023,14293.55957,14375.37988,14216.16016,14254.08984,14254.08984,5905760000
6/1/2023,14269.08984,14493.30957,14219.94043,14441.50977,14441.50977,4610310000
6/2/2023,14517.08008,14595.80957,14442.15039,14546.63965,14546.63965,4426760000
6/5/2023,14550.12988,14662.9502,14516.87988,14556.5,14556.5,4344280000
6/6/2023,14526.09961,14593.5,14476.99023,14558.08984,14558.08984,4810910000
6/7/2023,14573.26953,14647.91016,14283.87988,14303.29004,14303.29004,5270600000
6/8/2023,14319.24023,14503.30957,14314.69043,14484.54004,14484.54004,4280160000
6/9/2023,14574.24023,14672.84961,14487.48047,14528.36035,14528.36035,4412710000
6/12/2023,14617.34961,14789.59961,14571.36035,14784.29981,14784.29981,4722680000
6/13/2023,14911.25977,14931.83008,14770.13965,14900.84961,14900.84961,5522100000
6/14/2023,14894.09961,15017.09961,14784.62012,15005.69043,15005.69043,5772550000
6/15/2023,14949.7002,15246.62012,14930.12012,15185.48047,15185.48047,5667520000
6/16/2023,15272.65039,15284.65039,15073.4502,15083.91992,15083.91992,8076530000
6/20/2023,15036.48047,15127.41992,14946.71973,15070.15039,15070.15039,5237710000
6/21/2023,15019.00977,15038.90039,14826.01953,14867.4502,14867.4502,5194640000
6/22/2023,14797.88965,15044.21973,14794.9502,15042.32031,15042.32031,4499550000
6/23/2023,14879.23047,14983.73047,14821.80957,14891.48047,14891.48047,7734500000
6/26/2023,14866.66016,14982.82031,14687.01953,14689.01953,14689.01953,4430600000
6/27/2023,14751.57031,14972.30957,14726.75,14945.91016,14945.91016,5053660000
6/28/2023,14876.25,15051.08008,14865.80957,14964.57031,14964.57031,4533270000
6/29/2023,14965.54981,14986.88965,14876.94043,14939.9502,14939.9502,4388140000
6/30/2023,15085.24023,15213.75,15081.57031,15179.20996,15179.20996,4661120000
7/3/2023,15190.54004,15232.95996,15153.59961,15208.69043,15208.69043,2902300000
7/5/2023,15165.36035,15275.17969,15162.66016,15203.78027,15203.78027,5339340000
7/6/2023,15054.09961,15106.4502,14969.13965,15089.4502,15089.4502,6113080000
7/7/2023,15070.5,15210.62988,15032.55957,15036.84961,15036.84961,5098120000
7/10/2023,15031.9502,15066.44043,14924.63965,15045.63965,15045.63965,5275390000
7/11/2023,15068.12988,15135.29004,14974.16016,15119.05957,15119.05957,4840950000
7/12/2023,15279.34961,15364.08984,15209.70996,15307.23047,15307.23047,5230620000
7/13/2023,15432.48047,15602.74023,15420.70996,15571.98047,15571.98047,5183560000
7/14/2023,15610,15720.05957,15531,15565.59961,15565.59961,5366890000
7/17/2023,15608.28027,15745.66992,15576.50977,15713.28027,15713.28027,4593160000
7/18/2023,15671.71973,15895.67969,15607.70996,15841.34961,15841.34961,4824070000
7/19/2023,15888.16016,15932.04981,15781.95996,15826.34961,15826.34961,5112420000
7/20/2023,15717.66992,15771.83984,15429.87012,15466.08984,15466.08984,5128020000
7/21/2023,15554.9502,15600.54004,15410.57031,15425.66992,15425.66992,5254180000
7/24/2023,15475.15039,15504.66992,15374.66016,15448.01953,15448.01953,4083070000
7/25/2023,15483.05957,15622.69043,15482.04004,15561.41992,15561.41992,3812470000
7/26/2023,15514.04004,15571.16016,15411.91016,15499.25977,15499.25977,4322000000
7/27/2023,15734.03027,15795.50977,15416.04981,15464.92969,15464.92969,5115840000
7/28/2023,15630.16992,15788.48047,15617.75,15750.92969,15750.92969,4453520000
7/31/2023,15774.29981,15803.54981,15702.74023,15757,15757,4934440000
8/1/2023,15696.98047,15748.42969,15636.57031,15718.00977,15718.00977,4633770000
8/2/2023,15561.15039,15561.36035,15321.44043,15370.74023,15370.74023,5481960000
8/3/2023,15287.76953,15436.58984,15270.71973,15353.54004,15353.54004,6036970000
8/4/2023,15420.74023,15523.30957,15258.69043,15274.91992,15274.91992,5349450000
8/7/2023,15355.62012,15410.84961,15258.91992,15407.84961,15407.84961,4892330000
8/8/2023,15279.41016,15295.79981,15148.25,15273.04981,15273.04981,5284550000
8/9/2023,15286.99023,15288.75977,15077.91016,15101.70996,15101.70996,5591360000
8/10/2023,15217.29004,15366.29004,15072.49023,15128.83984,15128.83984,5299080000
8/11/2023,15010.51953,15102.53027,14973.66992,15028.07031,15028.07031,4638880000
8/14/2023,14988.41992,15206.25977,14972.00977,15205.58984,15205.58984,4272020000
8/15/2023,15172.08008,15192.87988,15014.36035,15037.65039,15037.65039,4473320000
8/16/2023,15021.62988,15077.04981,14874.01953,14876.46973,14876.46973,6243760000
8/17/2023,14943.33984,14949.58008,14698.29004,14715.80957,14715.80957,5280180000
8/18/2023,14589.70996,14744.57031,14557.83008,14694.83984,14694.83984,4801910000
8/21/2023,14762.00977,14958.87012,14739.37012,14936.69043,14936.69043,4363070000
8/22/2023,15035.07031,15037.79004,14883.98047,14908.95996,14908.95996,4282430000
8/23/2023,14947.58008,15188.86035,14947.58008,15148.05957,15148.05957,4127850000
8/24/2023,15278.92969,15279.24023,14814.83008,14816.44043,14816.44043,4383820000
8/25/2023,14858.92969,15001.29004,14715.36035,14941.83008,14941.83008,3970060000
8/28/2023,15035.48047,15086.23047,14948.91992,15052.45996,15052.45996,3666680000
8/29/2023,15043.01953,15391.55957,15034.54004,15376.54981,15376.54981,4748180000
8/30/2023,15386.66992,15484.83008,15341.94043,15462.42969,15462.42969,4364600000
8/31/2023,15475.42969,15575.00977,15466.41016,15501.07031,15501.07031,4568610000
9/1/2023,15600.9502,15618.84961,15429.36035,15490.86035,15490.86035,4033960000
9/5/2023,15460.51953,15556.84961,15419.95996,15508.24023,15508.24023,4379790000
9/6/2023,15467.32031,15487,15289.48047,15371.44043,15371.44043,4215320000
9/7/2023,15174.21973,15288.2002,15138.73047,15258.51953,15258.51953,4320830000
9/8/2023,15265.57031,15374.21973,15244.05957,15280.23047,15280.23047,4160360000
9/11/2023,15409.76953,15482.83984,15328.34961,15461.87012,15461.87012,4538870000
9/12/2023,15390.58984,15447.84961,15278.87988,15289.74023,15289.74023,4595490000
9/13/2023,15293.26953,15414.61035,15256.59961,15348.53027,15348.53027,4840310000
9/14/2023,15433.00977,15512.82031,15337.17969,15473.88965,15473.88965,4649010000
9/15/2023,15425.9502,15435.4502,15173.70996,15202.40039,15202.40039,8162210000
9/18/2023,15161.16992,15268.95996,15155.45996,15225.37012,15225.37012,4855880000
9/19/2023,15152.53027,15219.91992,15069.41016,15191.23047,15191.23047,4453460000
9/20/2023,15225.33984,15245.19043,14967.59961,14969.91992,14969.91992,4782440000
9/21/2023,14813.49023,14849.25,14691.69043,14694.24023,14694.24023,5014890000
9/22/2023,14756.62012,14855.91992,14686.83984,14701.09961,14701.09961,4302700000
9/25/2023,14662.69043,14771.12012,14615.4502,14768.90039,14768.90039,4100290000
9/26/2023,14668.4502,14678.48047,14505.67969,14545.83008,14545.83008,4693540000
9/27/2023,14600.13965,14657.20996,14432.59961,14580.16016,14580.16016,4841410000
9/28/2023,14530.95996,14787.58008,14510.16992,14702.76953,14702.76953,4648390000
9/29/2023,14853.34961,14901.84961,14664.78027,14715.24023,14715.24023,5138500000
10/2/2023,14717.90039,14892.17969,14701.51953,14837.57031,14837.57031,4554700000
10/3/2023,14744.04981,14819.87012,14504.13965,14565.62012,14565.62012,4684310000
10/4/2023,14613.23047,14803.04004,14592.55957,14776.25,14776.25,4308070000
10/5/2023,14769.54981,14784.69043,14584.38965,14723.21973,14723.21973,4167470000
10/6/2023,14622.23047,15021.37988,14575.9502,14973.24023,14973.24023,4309420000
10/9/2023,14871.57031,15070.63965,14816.32031,15047.15039,15047.15039,3835930000
10/10/2023,15074.04004,15241.94043,15050.54004,15131.51953,15131.51953,4301350000
10/11/2023,15194.53027,15248.21973,15119.62012,15241.12012,15241.12012,4160440000
10/12/2023,15264.11035,15333.98047,15090.69043,15184.09961,15184.09961,4858620000
10/13/2023,15225.73047,15232.37012,14943.41992,14995.12012,14995.12012,4251550000
10/16/2023,15054.48047,15209.5,15047.26953,15172.73047,15172.73047,4308690000
10/17/2023,15009.25977,15187.05957,14932.76953,15122.00977,15122.00977,4417640000
10/18/2023,15022.28027,15103.87012,14865.80957,14909.25977,14909.25977,4617140000
10/19/2023,14981.12988,15023.91016,14749.29981,14783.12988,14783.12988,5014790000
10/20/2023,14752.58984,14781.21973,14552.12012,14560.87988,14560.87988,4622840000
10/23/2023,14514.11035,14746.37012,14419.05957,14604.84961,14604.84961,4669060000
10/24/2023,14678.41016,14774.16016,14610.33008,14745.86035,14745.86035,4604720000
10/25/2023,14642.08008,14643.69043,14362.24023,14381.63965,14381.63965,4599850000
10/26/2023,14314.00977,14372.50977,14058.33008,14109.57031,14109.57031,4894900000
10/27/2023,14245.75,14321.04004,14130.37012,14180.41992,14180.41992,4172100000
10/30/2023,14283.98047,14388.2002,14225.86035,14335.50977,14335.50977,4149320000
10/31/2023,14340.86035,14420.44043,14232.40039,14409.78027,14409.78027,4315630000
11/1/2023,14453.67969,14677.86035,14441.88965,14664.91016,14664.91016,4545120000
11/2/2023,14856.9502,14930.75977,14792.80957,14919.54981,14919.54981,4962950000
11/3/2023,14985.12012,15149.78027,14965.29004,15099.49023,15099.49023,4918750000
11/6/2023,15137.16016,15180.19043,15064.91016,15154.92969,15154.92969,4345850000
11/7/2023,15201.76953,15335.44043,15153.30957,15296.01953,15296.01953,4354460000
11/8/2023,15313.90039,15343.19043,15220.87988,15313.24023,15313.24023,4685550000
11/9/2023,15351.12012,15382.11035,15171.32031,15187.90039,15187.90039,5313970000
11/10/2023,15252.36035,15535.2002,15237.16992,15529.12012,15529.12012,4722140000
11/13/2023,15469.20996,15524.66016,15404.70996,15482.79004,15482.79004,4349590000
11/14/2023,15744.36035,15850.33984,15726.12012,15812.46973,15812.46973,5332490000
11/15/2023,15881.71973,15904.62988,15765.30957,15817.17969,15817.17969,5063830000
11/16/2023,15765.2002,15842.62988,15738.21973,15833.16992,15833.16992,4545180000
11/17/2023,15803.98047,15876.87012,15766.94043,15837.99023,15837.99023,4408640000
11/20/2023,15845.2002,16056.75977,15844.83008,16027.05957,16027.05957,4561810000
11/21/2023,15951.54981,15968.08984,15866.82031,15933.62012,15933.62012,4128600000
11/22/2023,16025.74023,16119.30957,15964.04004,16001.38965,16001.38965,3855240000
11/24/2023,15974.84961,16007.42969,15940.62012,15982.00977,15982.00977,2541840000
11/27/2023,15969.71973,16045.29981,15932.19043,15961.98047,15961.98047,4205880000
11/28/2023,15940.29004,16031.51953,15921.07031,16010.42969,16010.42969,4474400000
11/29/2023,16111.36035,16166.50977,15976.69043,15987.59961,15987.59961,4890220000
11/30/2023,15987.66016,16013.48047,15825.66992,15947.87012,15947.87012,5678070000
12/1/2023,15892.58984,16013.75,15834.92969,15997.58008,15997.58008,5607000000
12/4/2023,15837.12012,15852.4502,15695.58008,15839.66992,15839.66992,6270020000
12/5/2023,15763.65039,15931.83984,15760.58984,15877.70996,15877.70996,6179120000
12/6/2023,15990.2002,15990.94043,15776.9502,15788.04981,15788.04981,5167030000
12/7/2023,15888.23047,16042.50977,15875.48047,16022.49023,16022.49023,5694310000
12/8/2023,15952.84961,16100.86035,15937.58008,16084.69043,16084.69043,5430840000
12/11/2023,16069.62012,16232.25977,16061.87012,16221.73047,16221.73047,5607820000
12/12/2023,16209.61035,16354.25,16175.45996,16354.25,16354.25,4950100000
12/13/2023,16392.17969,16581.03906,16357.20996,16562.36914,16562.36914,6732040000
12/14/2023,16603.53906,16660.71094,16419.25977,16537.83008,16537.83008,8033170000
12/15/2023,16587,16669.76953,16557.00977,16623.44922,16623.44922,8377630000
12/18/2023,16631.10938,16764.32031,16629.28906,16729.80078,16729.80078,5866080000
12/19/2023,16734.25,16813.00977,16733.38086,16811.84961,16811.84961,5757180000
12/20/2023,16763.64063,16860.67969,16552.06055,16554.16016,16554.16016,6294700000
12/21/2023,16719.60938,16768.01953,16621.51953,16757.41016,16757.41016,5465640000
12/22/2023,16799.01953,16839.25,16703.57031,16777.40039,16777.40039,4796600000
12/26/2023,16816.7793,16907.50977,16813.57031,16878.46094,16878.46094,6120600000
12/27/2023,16896.14063,16922.00977,16859.55078,16906.80078,16906.80078,7480170000
12/28/2023,16963.51953,16969.16992,16891.32031,16898.4707,16898.4707,5090570000
12/29/2023,16902.43945,16919.50977,16757.89063,16825.92969,16825.92969,5441060000
