Date,Open,High,Low,Close,Adj Close,Volume
9/1/2023,15600.9502,15618.84961,15429.36035,15490.86035,15490.86035,4033960000
9/5/2023,15460.51953,15556.84961,15419.95996,15508.24023,15508.24023,4379790000
9/6/2023,15467.32031,15487,15289.48047,15371.44043,15371.44043,4215320000
9/7/2023,15174.21973,15288.2002,15138.73047,15258.51953,15258.51953,4320830000
9/8/2023,15265.57031,15374.21973,15244.05957,15280.23047,15280.23047,4160360000
9/11/2023,15409.76953,15482.83984,15328.34961,15461.87012,15461.87012,4538870000
9/12/2023,15390.58984,15447.84961,15278.87988,15289.74023,15289.74023,4595490000
9/13/2023,15293.26953,15414.61035,15256.59961,15348.53027,15348.53027,4840310000
9/14/2023,15433.00977,15512.82031,15337.17969,15473.88965,15473.88965,4649010000
9/15/2023,15425.9502,15435.4502,15173.70996,15202.40039,15202.40039,8162210000
9/18/2023,15161.16992,15268.95996,15155.45996,15225.37012,15225.37012,4855880000
9/19/2023,15152.53027,15219.91992,15069.41016,15191.23047,15191.23047,4453460000
9/20/2023,15225.33984,15245.19043,14967.59961,14969.91992,14969.91992,4782440000
9/21/2023,14813.49023,14849.25,14691.69043,14694.24023,14694.24023,5014890000
9/22/2023,14756.62012,14855.91992,14686.83984,14701.09961,14701.09961,4302700000
9/25/2023,14662.69043,14771.12012,14615.4502,14768.90039,14768.90039,4100290000
9/26/2023,14668.4502,14678.48047,14505.67969,14545.83008,14545.83008,4693540000
9/27/2023,14600.13965,14657.20996,14432.59961,14580.16016,14580.16016,4841410000
9/28/2023,14530.95996,14787.58008,14510.16992,14702.76953,14702.76953,4648390000
9/29/2023,14853.34961,14901.84961,14664.78027,14715.24023,14715.24023,5138500000
10/2/2023,14717.90039,14892.17969,14701.51953,14837.57031,14837.57031,4554700000
10/3/2023,14744.04981,14819.87012,14504.13965,14565.62012,14565.62012,4684310000
10/4/2023,14613.23047,14803.04004,14592.55957,14776.25,14776.25,4308070000
10/5/2023,14769.54981,14784.69043,14584.38965,14723.21973,14723.21973,4167470000
10/6/2023,14622.23047,15021.37988,14575.9502,14973.24023,14973.24023,4309420000
10/9/2023,14871.57031,15070.63965,14816.32031,15047.15039,15047.15039,3835930000
10/10/2023,15074.04004,15241.94043,15050.54004,15131.51953,15131.51953,4301350000
10/11/2023,15194.53027,15248.21973,15119.62012,15241.12012,15241.12012,4160440000
10/12/2023,15264.11035,15333.98047,15090.69043,15184.09961,15184.09961,4858620000
10/13/2023,15225.73047,15232.37012,14943.41992,14995.12012,14995.12012,4251550000
10/16/2023,15054.48047,15209.5,15047.26953,15172.73047,15172.73047,4308690000
10/17/2023,15009.25977,15187.05957,14932.76953,15122.00977,15122.00977,4417640000
10/18/2023,15022.28027,15103.87012,14865.80957,14909.25977,14909.25977,4617140000
