datetime,headline,keywords
2021-04-29T09:00:30+0000,"The Price Is Right, And Rising","[United States Economy|Prices (Fares, Fees and Rates)|Shopping and Retail|Inflation (Economics)|Consumer Price Index|Coronavirus (2019-nCoV)]"
2021-06-04T23:07:11+0000,"Biden Says Benefits End In 90 Days","[Unemployment Insurance|United States Economy|United States Politics and Government|Labor and Jobs|Unemployment]"
2021-06-18T16:38:06+0000,"Unease on Wall Street Stretches to a Fourth Day","[Stocks and Bonds|United States Economy|Standard & Poor's 500-Stock Index|Banking and Financial Institutions|Interest Rates]"
2021-06-30T07:00:11+0000,"Fed Officials Less in Step As Costs Rise","[Inflation (Economics)|United States Economy|Interest Rates|Quantitative Easing|Prices (Fares, Fees and Rates)|Stimulus (Economic)|Recession and Depression|Credit and Debt|Labor and Jobs|American Rescue Plan (2021)]"
2021-07-02T09:06:23+0000,"Hiring Increases and Wages Jump as U.S. Rebounds","[United States Economy|Labor and Jobs|Wages and Salaries|Hiring and Promotion|Unemployment|Coronavirus (2019-nCoV)]"
2021-10-14T12:53:29+0000,"Car Buyers Seek a Deal In Any Style","[Automobiles|Electric and Hybrid Vehicles|Used Cars|Shopping and Retail|Sports Utility Vehicles and Light Trucks|Shortages|Inflation (Economics)|United States Economy]"
2021-10-28T09:01:34+0000,"Virus Surge And Delays For Supplies Slow Growth","[United States Economy|Gross Domestic Product|Coronavirus Delta Variant|International Trade and World Market|Shortages|Inflation (Economics)|Consumer Behavior|Factories and Manufacturing|Disease Rates]"
2021-12-21T08:00:07+0000,"How the 2020s Economy Could Resemble the 1980s","[Inflation (Economics)|United States Economy|United States Politics and Government|Nineteen Hundred Eighties]"
2021-08-25T09:00:14+0000,"With Loans Few, Banks Buy Bonds","[Banking and Financial Institutions|Government Bonds|Credit and Debt|United States Economy|Interest Rates|Stimulus (Economic)]"
2021-11-16T13:40:05+0000,"Americans Dread Rising Inflation, But Spend Freely","[Shopping and Retail|Prices (Fares, Fees and Rates)|United States Economy|Inflation (Economics)]"
2021-01-18T17:46:37+0000,"Yellen Readies Big Changes for Treasury","[United States Economy|Presidential Transition (US)|Banking and Financial Institutions|United States Politics and Government|Appointments and Executive Changes|Regulation and Deregulation of Industry|Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)]"
2021-05-14T12:44:23+0000,"Spending Holds, With Aid Checks’ Help","[Consumer Behavior|Shopping and Retail|United States Economy]"
2021-03-11T10:00:30+0000,"Gas Prices May Be $4 By Summer","[Oil (Petroleum) and Gasoline|Prices (Fares, Fees and Rates)|American Rescue Plan (2021)|Coronavirus (2019-nCoV)|Shale|Drilling and Boring|Stocks and Bonds|United States Economy|International Trade and World Market|Production]"
2021-03-17T18:01:02+0000,"Fed Projects Patience Even as Economic Outlook Brightens","[United States Economy|Interest Rates|Inflation (Economics)]"
